year-of-birth;party;last-name;first-name;is-followed-by-us;twitter-handle
1961;DIE LINKE;Aken; Jan van;WAHR;@jan_vanaken
1968;CDU;Albani; Stephan;FALSCH;null
1983;CSU;Albsteiger; Katrin;WAHR;@dieAlbsteigerin
1961;DIE LINKE;Alpers; Agnes;WAHR;@AgnesAlpers
1958;CDU;Altmaier; Peter;WAHR;@peteraltmaier
1984;GR�NE;Amtsberg; Luise;WAHR;@Luise_Amtsberg
1968;GR�NE;Andreae; Kerstin;WAHR;@KerstinAndreae
1973;SPD;Annen; Niels;WAHR;@NielsAnnen
1961;SPD;Arndt-Brauer; Ingrid;FALSCH;null
1950;SPD;Arnold; Rainer;WAHR;@rainerarnold
1963;CSU;Auernhammer; Artur;FALSCH;null
1955;SPD;Baehrens; Heike;FALSCH;null
1980;GR�NE;Baerbock; Annalena;WAHR;@Abaerbock
1964;SPD;Bahr; Ulrike;WAHR;@MdB_Ulrike_Bahr
1967;SPD;B�hr-Losse; Bettina;WAHR;null
1978;CSU;B�r; Dorothee;WAHR;@DoroBaer
1950;SPD;Barchmann; Heinz-Joachim;FALSCH;null
1975;CDU;Bareiss; Thomas;WAHR;@Thomas_Bareiss
1968;SPD;Barley; Katarina;WAHR;@katarinabarley
1953;SPD;Barnett; Doris;FALSCH;null
1961;SPD;Bartels; Hans-Peter;FALSCH;null
1955;SPD;Barthel; Klaus;FALSCH;null
1952;CDU;Barthle; Norbert;FALSCH;null
1959;SPD;Bartke; Matthias;WAHR;@matthiasbartke
1974;SPD;Bartol; Soren;WAHR;@soerenbartol
1958;DIE LINKE;Bartsch; Dietmar;WAHR;@DietmarBartsch
1968;SPD;Bas; B�rbel;WAHR;@baerbelbas
1975;SPD;Batzing-Lichtenthaler;Sabine;WAHR;@Sabine_Baetzing
1947;CDU;Baumann; G�nter;FALSCH;@guenterbaumann
1952;GR�NE;Beck; Marieluise;WAHR;@MarieluiseBeck
1960;GR�NE;Beck; Volker;WAHR;@Volker_Beck
1966;SPD;Becker; Dirk;FALSCH;null
1949;SPD;Beckmeyer; Uwe;FALSCH;null
1981;CDU;Beermann; Maik;WAHR;@MaikBeermann
1954;DIE LINKE;Behrens; Herbert;WAHR;@HerbertBehrens
1956;CDU;Behrens; Manfred;WAHR;@Manfredbehrens
1960;CDU;Bellmann; Veronika;FALSCH;null
1961;CDU;Benning; Sybille;FALSCH;null
1972;CDU;Berghegger; Andr�;FALSCH;null
1948;CDU;Bergner; Christoph;FALSCH;null
